0,1,2,3,4,5,6,7,8,9
jeju,19-Jan,64,40,2019_01,348702,19-Jan,6.4,2.0,12.6
jeju,19-Feb,63,30,2019_02,266469,19-Feb,7.4,1.0,18.4
jeju,19-Mar,63,17,2019_03,338207,19-Mar,10.8,3.6,22.0
jeju,19-Apr,68,14,2019_04,390506,19-Apr,14.7,6.2,25.0
jeju,19-May,56,10,2019_05,323978,19-May,20.0,11.9,33.1
jeju,19-Jun,80,33,2019_06,236749,19-Jun,21.5,15.9,29.8
jeju,19-Jul,85,48,2019_07,231980,19-Jul,25.2,20.4,35.4
jeju,19-Aug,77,42,2019_08,202232,19-Aug,27.7,20.8,34.7
jeju,19-Sep,84,46,2019_09,287129,19-Sep,24.0,16.7,30.4
jeju,19-Oct,69,34,2019_10,357250,19-Oct,19.7,11.9,27.3
jeju,19-Nov,65,38,2019_11,374719,19-Nov,14.6,6.9,24.3
jeju,19-Dec,64,41,2019_12,433330,19-Dec,9.7,1.8,18.7
